Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2023-12-06,"Round the Corner",WI5-,,https://www.mountainproject.com/route/105747333/round-the-corner,2,"Colorado > CO Ice & Mixed > Tenmile Canyon aka Officer's Gulch",3.0,-1,,,"Trad, Ice",,300,33750
2023-11-30,"The Headache",5.10,"W Sofia. Climbed with 80m np. Maybe having an 80m isn’t such a stupid idea…But on the first rap, make sure you go to the anchors on the right and not the ones directly below, lol. 
There was a guy a shrooms blasting alien music into the canyon. Playful vibes",https://www.mountainproject.com/route/105718186/the-headache,3,"Utah > Southwest Utah > Zion National Park > Mount Carmel Tunnel > Headache Area",3.9,-1,Lead,,Trad,,380,3000
2023-11-27,"Tunnel Vision",5.7,"EB was striped tiger and Eby was smooth dolphin. I, the cave yeti, growled in the cave. We made some friends that tried to catch us and we giggled about emissivity and grey bodies at the van afterward.
Who needs doubles when you have an 80m XP",https://www.mountainproject.com/route/105732509/tunnel-vision,6,"Nevada > Southern Nevada > Red Rocks > (06) White Rock Spring > Angel Food Area > Angel Food Wall",3.1,4,Lead,,Trad,,770,1800
2023-11-26,SOS,5.13-,"Honestly, felt hard for 13a to me. I stared to pull real hard on the undercling, but given that it was day 10 in a row, I decided not to risk the tendons and skip the cruxes. Elizabeth got on it as her first 13 attempt and Shawn almost sent on his last attempt. We drank beer in the sun in between attempts.",https://www.mountainproject.com/route/105808879/sos,1,"Nevada > Southern Nevada > Red Rocks > (04) Second Pullout (Calico II) > Tsunami Wall",3.2,-1,Lead,Fell/Hung,Sport,,50,8700
2023-11-26,"Electric Koolaid",5.9+,"Nice sunny warm up while oak annie and I played around on the scattered boulders.",https://www.mountainproject.com/route/105732323/electric-koolaid,1,"Nevada > Southern Nevada > Red Rocks > (04) Second Pullout (Calico II) > Magic Bus",2.2,-1,Lead,,"Sport, TR",,50,2500
2023-11-25,Bigwank,5.9,"Placed Norm’s #7!!! Which was not at all useful or necessary lol",https://www.mountainproject.com/route/107914182/bigwank,1,"Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Kraft Mountain Area > Yin and Yang Cliff",2.4,-1,Lead,,Trad,,20,2400
2023-11-25,Miniwanka,5.7,"Elizabeth got stoked for this after watching Susan lead it. Was chill crack. ",https://www.mountainproject.com/route/107077673/miniwanka,1,"Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Kraft Mountain Area > Yin and Yang Cliff",1.8,-1,Lead,,Trad,,40,1800
2023-11-25,Atman,5.10a,"Pretty relaxing and short hand crack. Most everyone was out of steam at this point and they left to get fish and chips while E and I stayed for a few more climbs.",https://www.mountainproject.com/route/105732482/atman,1,"Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Kraft Mountain Area > Yin and Yang Cliff",3.1,-1,Lead,,Trad,,40,2600
2023-11-25,"Yin and Yang",5.11a,"I was inspired by Annie to climb more 12s after watching her send this. For me, the crack was just varied and flared enough that I had to think about it, but I wasn’t able to extract the same adventure from it that annie was able to.",https://www.mountainproject.com/route/105732485/yin-and-yang,1,"Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Kraft Mountain Area > Yin and Yang Cliff",3.6,-1,Lead,Onsight,Trad,,40,4600
2023-11-25,"Peak Performance",5.11d,"Basically an 5.11d boulder problem (which stumped me for like 4 attempts, before Kelsey [def not Mimi] insisted that I the out of sight pocket), followed up by 40ft of 5.9",https://www.mountainproject.com/route/106516274/peak-performance,1,"Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Kraft Mountain Area > Sunny and Steep",2.7,1,Lead,,Sport,,45,5500
2023-11-24,"Prince of Darkness",5.10c,"W Elizabeth and sir oak! Vfun day. Oak always brings vibes strong enough to keep us warm. Helicopter picked up some dude who broke foot on epi, while we shivered our way up. Some guy next to us on Turkey was wearing mittens and down pants.",https://www.mountainproject.com/route/105732458/prince-of-darkness,6,"Nevada > Southern Nevada > Red Rocks > (16) Black Velvet Canyon > Black Velvet Wall",3.1,2,Lead,,"Trad, Sport",,700,3200
2023-11-23,Scorpions,5.11a,"Some cool guys let’s us climb through their draws. Juggy easy 11a. Elizabeth’s tendons we’re giving her lip. ",https://www.mountainproject.com/route/105949670/scorpions,1,"Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Kraft Mountain Area > Sunny and Steep",3.0,-1,Lead,,Sport,,50,4600
2023-11-23,"Sport Chimney",5.8,"Lol, did Twice. Love it. Having a bolted chimney next to all these great routes is hilarious. And the kind of hilarity im into.",https://www.mountainproject.com/route/106516267/sport-chimney,2,"Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Kraft Mountain Area > Sunny and Steep",2.7,-1,Lead,,Sport,,70,2100
2023-11-23,"Working for Peanuts",5.9+,"ElizBeths first lead of the trip! A bit headed on the first couple bolts. Made some friends that were installed Xmas lights in vegas and i gave them a catch on choads.",https://www.mountainproject.com/route/106601293/working-for-peanuts,1,"Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Kraft Mountain Area > Sunny and Steep",1.7,-1,,,Sport,,60,2500
2023-11-23,"Mr Choad's Wild Ride",5.11b,"Worth the stars. Pumpy, varied, sustained, and a lil runout. Definitely a great 11b test piece.",https://www.mountainproject.com/route/106375205/mr-choads-wild-ride,1,"Nevada > Southern Nevada > Red Rocks > (01) Calico Basin > Kraft Mountain Area > Sunny and Steep",3.7,-1,Lead,Onsight,Sport,,105,4900
2023-11-22,"Tunnel Vision",5.7,"W Tom and jack and kels. Jack stoke my 0.3s. So fun I did it again 4 days later. Sneaky perfect 0.75 placement in cave:",https://www.mountainproject.com/route/105732509/tunnel-vision,6,"Nevada > Southern Nevada > Red Rocks > (06) White Rock Spring > Angel Food Area > Angel Food Wall",3.1,4,,,Trad,,770,1800
2023-11-21,"Rock Warrior","5.10b R","Was constantly full of intriguing 5.10 crux on after the other, whilst being uncomfortably above your last protection.
If you don’t like balzy climbs. Climb Dark Prince. It is so tantalizing to have all their bolts just 20ft to your right while your 30ft above your last nut.  Didnt love it. Aptly named, cuz it feels like your at war since your ankles are on the line.  w Jack and Tom",https://www.mountainproject.com/route/105883684/rock-warrior,2,"Nevada > Southern Nevada > Red Rocks > (16) Black Velvet Canyon > Black Velvet Wall",3.6,0,Lead,,Trad,,,2900
2023-11-20,"Arms Reduction",5.9+,"Linked the pitches to get into Armatron",https://www.mountainproject.com/route/105955835/arms-reduction,2,"Nevada > Southern Nevada > Red Rocks > (11) Juniper Canyon > Brownstone Wall",2.3,-1,Lead,,Trad,,400,2500
2023-11-20,Armatron,5.9-,"Was a crowd, so skipped the first couple pitches via the climb to right (which was forgettable).
Caught up to Harrison the biologist and his sidekick Ryan for good company.
W jack and Tom.",https://www.mountainproject.com/route/105809181/armatron,4,"Nevada > Southern Nevada > Red Rocks > (11) Juniper Canyon > Brownstone Wall",3.5,-1,Lead,,Trad,,680,2300
2023-11-19,Frogland,5.8,"W jack. His shoulder need to be felt out after breaking it 2 mo ago. Got up late, passed a huge crowd and climbed super fast. Back to car by 1pm.",https://www.mountainproject.com/route/105732398/frogland,6,"Nevada > Southern Nevada > Red Rocks > (16) Black Velvet Canyon > Whiskey Peak > North Face",3.6,-1,Lead,,Trad,,700,2100
2023-11-05,"Checkpoint Bravo (AKA Himmelbruch)",5.10c/d,,https://www.mountainproject.com/route/106304871/checkpoint-bravo-aka-himmelbruch,1,"Colorado > Boulder > Boulder Canyon > Lower Dream Canyon > Berlin Wall",2.0,-1,Lead,,Sport,,60,3400
2023-11-04,"The Bastille Crack",5.7,"I meant to place a lot of gear do that E could pinkpoint… but i placed 2 pieces and then all of a sudden i was at the chains.",https://www.mountainproject.com/route/105748490/the-bastille-crack,5,"Colorado > Boulder > Eldorado Canyon State Park > The Bastille > The Bastille - N Face",3.5,3,,,Trad,,350,1800
2023-11-04,"Grand Giraffe",5.10a,,https://www.mountainproject.com/route/105751315/grand-giraffe,5,"Colorado > Boulder > Eldorado Canyon State Park > Redgarden Wall > Redgarden - Tower One",3.4,4,,,Trad,,,2600
2023-11-02,Dominator,5.10c,"Nice warmup. And good hanging maddy on a thursday afternoon.",https://www.mountainproject.com/route/105758062/dominator,1,"Colorado > Boulder > Boulder Canyon > Avalon > Second Tier > Three Dihedrals",3.0,-1,Lead,,Sport,,60,3200
2023-11-02,"Strange Science",5.11c,"w Maddy. Maddy claimed that the crux required a dynamic move to a crimp. I was determined to stay static to protect my finger and the crimp was not great. And then after the crux i reached up to a terrible hold to pull the roof. I barely managed it.",https://www.mountainproject.com/route/105754129/strange-science,1,"Colorado > Boulder > Boulder Canyon > Avalon > Second Tier > Middle Wall",3.4,-1,Lead,,"Sport, TR",,50,5200
2023-10-27,"Handcracker Direct",5.10a,"Just p1-2. Bailed due to cold. Maddy and steve were champs, but it was bitterly cold. Steve screams of agony were great type2 fun tho. Group behind us was thinking about doin it too, but they made the right call. We too took a break after for it to warm up at the gas station.",https://www.mountainproject.com/route/105749599/handcracker-direct,2,"Colorado > Boulder > Eldorado Canyon State Park > The West Ridge > West Ridge - part C - Pony Express to Long John",3.6,-1,Lead,,Trad,,,2600
2023-10-27,"Wind Ridge",5.7,"Very nice. Maddy led efficiently while i hung out with steve in the long awaited sun on a very cold day. The flake on the last pitch is as good as it looked from when i climbed tagger. I loosened a microwave block on the decent. ",https://www.mountainproject.com/route/105748361/wind-ridge,4,"Colorado > Boulder > Eldorado Canyon State Park > The Wind Tower > Wind Tower - SW Face",3.1,-1,Follow,,Trad,,,1800
2023-10-26,"Bolted Route Number 4",5.9,"Steve was in town! We only had a few hours and these “gems” were on his todo list, lol",https://www.mountainproject.com/route/113287809/bolted-route-number-4,1,"Colorado > Boulder > Upper Dream Canyon > Water Slabs",2.2,-1,,,Sport,,100,2400
2023-10-26,"Bolted Route Number 3",5.9+,"bolted route #4 was better. Pretty thoughtful slab tho. Not bad at all despite the mundane nomenclature ",https://www.mountainproject.com/route/113287732/bolted-route-number-3,1,"Colorado > Boulder > Upper Dream Canyon > Water Slabs",1.6,-1,,,Sport,,100,2500
2023-10-21,Clearlight,"5.11 PG13",,https://www.mountainproject.com/route/106060687/clearlight,1,"Utah > Southeast Utah > River Road > Big Bend Butte",3.3,-1,,,Trad,,450,5000
2023-10-20,Clearlight,"5.11 PG13",,https://www.mountainproject.com/route/106060687/clearlight,4,"Utah > Southeast Utah > River Road > Big Bend Butte",3.3,-1,,,Trad,,450,5000
2023-10-20,"Brush Painted Datsun",5.10c,"The top crux was a near send for me. I yelled and the canyon yelled back at me.
I did it with a lay back, but Rob got a ringlock",https://www.mountainproject.com/route/105718138/brush-painted-datsun,1,"Utah > Southeast Utah > Potash Road > Day Canyon > Day Canyon Cragging Routes",3.7,-1,Lead,,Trad,,70,3200
2023-10-20,"Finger Bandit",5.12+,"VHard. But awesome fingertip jams. Susan left while I was TRing it.",https://www.mountainproject.com/route/106610447/finger-bandit,1,"Utah > Southeast Utah > Potash Road > Day Canyon > Day Canyon Cragging Routes",3.5,-1,TR,,Trad,,50,7300
